"access","der Zugang"
"to compare","vergleichen"
"to earn","verdienen"
"to flow","fließen"
"to keep","behalten, halten"
"to lift","heben"
"to match","zusammenpassen"
"to move","bewegen, sich bewegen, umziehen"
"tyre","der Reifen"
"wave","die Welle"
"alone","allein"
"business","das Geschäft, die Angelegenheit"
"dirt","der Schmutz"
"edge","der Rand"
"event","das Ereignis"
"favour","der Gefallen, das Wohlwollen"
"force","die Kraft, der Zwang"
"grand","großartig"
"hole","das Loch"
"industry","die Industrie"
"limit","die Grenze, die Frist"
"matter","die Materie, die Angelegenheit"
"movement","die Bewegung"
"nowhere","nirgends"
"pork","das Schweinefleisch"
"railway","die Eisenbahn"
"science","die Wissenschaft"
"symbol","das Symbol"
"to avoid","vermeiden, verhüten"
"to chat","plaudern"
"to complete","vervollständigen"
"to decide","entscheiden, sich entscheiden"
"to kick","treten"
"to remove","beseitigen, entfernen"
"to sign","unterschreiben"
"to store","speichern, lagern"
"to wear","tragen (Kleidung)"
"
  uncomfortable","unbequem"
"amount","die Menge, der Betrag"
"
  basic","grundlegend"
"
  busy","beschäftigt, besetzt (Tel.)"
"check","die Überprüfung"
"condition","die Bedingung"
"decision","die Entscheidung"
"education","die Erziehung, die Bildung"
"ever","je, jemals"
"foreign","ausländisch, fremd"
"home town","der Heimatort"
"knee","das Knie"
"liquid","die Flüssigkeit, flüssig"
"officer","der Offizier, der Beamte"
"position","die Position, die Stellung, die Lage"
"scissors","die Schere"
"sign","das Zeichen, das Schild"
"
  straight","gerade"
"tail","der Schwanz"
"to discover","entdecken"
"to fear","fürchten"
"to greet","grüßen, begrüßen"
"to inform","informieren"
"to measure","messen"
"to name","nennen, benennen"
"to raise","heben, erhöhen"
"to replace","ersetzen, zurückstellen"
"
  unfair","ungerecht"
"weight","das Gewicht"
"bat","der Schläger, die Fledermaus"
"call","der Anruf"
"chemical","chemisch, die Chemikalie"
"conflict","der Konflikt"
"
  deep","tief"
"effect","die Wirkung"
"
  exact","genau"
"ground","der Boden"
"
  horrible","schrecklich"
"instead","stattdessen"
"
  large","groß"
"media","die Medien"
"national","national, landesweit"
"opinion","die Meinung"
"power","die Macht"
"rather","ziemlich"
"situation","die Lage"
"strange","seltsam, fremd"
"task","die Aufgabe"
"to announce","ankündigen"
"to discuss","diskutieren, besprechen"
"to feed","füttern"
"to form","bilden, formen"
"to list","auflisten, aufzählen"
"to reply","antworten"
"to search","suchen"
"union","die Union, die Vereinigung"
"
  wide","breit, weit"
"beauty","die Schönheit"
"camp","das Lager"
"chips","die Pommes Frites"
"department","die Abteilung"
"disk","die Diskette"
"e. g.","z. B."
"exchange student","der Austauschschüler"
"
  few","wenig"
"form","die Form, das Formular"
"
  human","menschlich"
"instruction","die Anweisung"
"last night","gestern Abend"
"local","hiesig, ortsansässig"
"meeting","das Treffen, die Sitzung, die Versammlung"
"nearly","beinahe, fast"
"order","die Reihenfolge, der Befehl, die Bestellung"
"slave","der Sklave"
"strength","die Stärke, die Kraft"
"term","der Zeitraum, der Ausdruck"
"to appear","erscheinen, scheinen"
"to be worth","Wert sein"
"to connect","verbinden"
"to grow","wachsen"
"to prefer","vorziehen, lieber mögen"
"to reach","erreichen"
"to represent","darstellen, vertreten, bedeuten"
"to select","auswählen"
"
  usual","üblich"
"
  black","schwarz"
"
  blue","blau"
"
  brown","braun"
"eight","acht"
"five","fünf"
"four","vier"
"green","grün"
"grey","grau"
"hundred","hundert"
"million","die Million"
"nine","neun"
"one","eins"
"
  red","rot"
"seven","sieben"
"six","sechs"
"ten","zehn"
"thousand","tausend"
"three","drei"
"two","zwei"
"
  white","weiß"
"
  yellow","gelb"
"to apply for","sich bewerben um"
"to be afraid of","Angst haben vor"
"to be aware of","sich bewusst sein über"
"to be concerned about","sich Sorgen machen um"
"to be frightened of","Angst haben vor"
"to belong to","gehören zu"
"to benefit from","Nutzen ziehen aus"
"to care about","sich kümmern um"
"to depend on","abhängen von"
"to find out","herausfinden"
"to get to know","kennen lernen"
"to give up","aufgeben"
"to grow up","aufwachsen"
"to listen to","zuhören"
"to look after","sorgen für, aufpassen auf"
"to look at","ansehen"
"to look for","suchen nach"
"to switch off","ausschalten"
"to take part in","teilnehmen an"
"to take place","stattfinden"
"to turn off","ausschalten"
"to turn on","einschalten"
"to wake up","aufwachen, aufwecken"
"about","über, etwa"
"above","über, oben"
"according to","laut, nach"
"across","über, hinüber, durch"
"after","nach, nachdem"
"against","gegen"
"ago","vor"
"among","unter"
"at","an, bei"
"because of","wegen"
"behind","hinter, hinten"
"between","zwischen"
"by","bei, von, durch"
"close to","in der Nähe, nahe"
"due to","wegen"
"during","während"
"except","außer"
"for","für, seit"
"from","von"
"in","in"
"in front of","vor"
"into","in ... hinein"
"near","nahe"
"next to","neben"
"of","von"
"on","an, auf"
"on top of","oben auf"
"since","seit"
"through","durch"
"to","zu, nach"
"toward","auf ... zu"
"under","unter"
"up","oben, hinauf"
"up to","bis"
"with","mit"
"without","ohne"
"bed","das Bett"
"bread","das Brot"
"no","nein"
"please","bitte"
"sorry","Entschuldigung"
"thank you","danke"
"to be","sein"
"to do","tun, machen"
"to have","haben"
"water","das Wasser"
"yes","ja"
"autumn","der Herbst"
"century","das Jahrhundert"
"day","der Tag"
"east","der Osten, östlich"
"hour","die Stunde"
"inch","der Zoll (Längenmaß)"
"kilometre","der Kilometer"
"left","links"
"metre","der Meter"
"mile","die Meile"
"minute","die Minute"
"month","der Monat"
"north","der Norden, nördlich"
"right","das Recht, rechts, richtig"
"season","die Jahreszeit, die Saison"
"south","der Süden, südlich"
"spring","der Frühling"
"square","das Quadrat, der Platz"
"summer","der Sommer"
"triangle","das Dreieck"
"week","die Woche"
"west","der Westen, westlich"
"winter","der Winter"
"year","das Jahr"
